sample_name,sample_before,sample_after,success
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
"[['gen', 'p_mw', 3]]",[0.0],[0.0],1
